Location.Country,Location.Region,Location.Altitude.Min,Location.Altitude.Max,Location.Altitude.Average,Year,Data.Owner,Data.Type.Species,Data.Type.Variety,Data.Type.Processing method,Data.Production.Number of bags,Data.Production.Bag weight,Data.Scores.Aroma,Data.Scores.Flavor,Data.Scores.Aftertaste,Data.Scores.Acidity,Data.Scores.Body,Data.Scores.Balance,Data.Scores.Uniformity,Data.Scores.Sweetness,Data.Scores.Moisture,Data.Scores.Total,Data.Color
Brazil,south of minas,1250,1250,1250,2011,nucoffee,Arabica,Bourbon,Natural / Dry,3,60.0,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,0.12,86.92,Green
Brazil,vale da grama,1300,1300,1300,2011,nucoffee,Arabica,Bourbon,Natural / Dry,29,60.0,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,0.12,86.42,Green
Brazil,south of minas,1250,1250,1250,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,7,60.0,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,0.11,86.08,Blue-Green
Brazil,south of minas,1250,1250,1250,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,5,60.0,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,0.11,85.42,Blue-Green
Brazil,south of minas,1200,1200,1200,2011,nucoffee,Arabica,Bourbon,Natural / Dry,4,60.0,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,0.11,84.92,Green
Brazil,south of minas,1000,1000,1000,2011,nucoffee,Arabica,Catuai,Natural / Dry,10,60.0,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,0.12,84.92,Green
Brazil,vale da grama,1300,1300,1300,2011,nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,37,60.0,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,0.12,84.58,Green
Brazil,mountains of minas gerais,1100,1100,1100,2011,nucoffee,Arabica,Catuai,Semi-washed / Semi-pulped,35,60.0,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,0.11,84.58,Blue-Green
Colombia,la plata,1600,1950,1775,2011,racafe & cia s.c.a,Arabica,Caturra,Washed / Wet,121,1.0,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,0.12,83.0,Bluish-Green
Colombia,huila,1750,1750,1750,2011,exportadora de cafe condor s.a,Arabica,Caturra,Washed / Wet,250,70.0,7.33,7.58,7.17,7.58,7.42,7.58,10.0,10.0,0.0,82.42,Green
